"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"1997-05-06","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-07","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-07","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-07","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-07","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-07","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1997-05-13","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1997-05-13","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-14","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-14","maine","york","waterboro barrens","frost pocket",43.61,-70.8,155,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-14","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-14","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-14","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-14","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-14","maine","york","waterboro barrens","frost pocket",43.61,-70.8,155,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1997-05-20","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1997-05-20","maine","york","waterboro barrens","frost pocket",43.61,-70.8,155,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1997-05-20","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-21","maine","york","waterboro barrens","pitch pine scrub oak",43.61,-70.8,157,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-21","maine","york","waterboro barrens","frost pocket",43.61,-70.8,155,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-21","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-21","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-21","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1996-05-21","maine","york","waterboro barrens","open pine",43.61,-70.8,158,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1997-05-21","maine","york","waterboro barrens","frost pocket",43.61,-70.8,155,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
"1997-05-27","maine","york","waterboro barrens","pitch pine scrub oak",43.61,-70.8,157,"Myrmicinae","Aphaenogaster","rudis","aphrud","ELMF","DTJennings"
