"ddg.num","ddg.type","ddg.from","ddg.to"
1,"cf","p1","p2"
2,"df.in","d1","p2"
3,"df.out","p2","d2"
4,"cf","p2","p3"
5,"df.in","d3","p3"
6,"df.out","p3","d4"
7,"cf","p3","p4"
8,"df.in","d5","p4"
9,"df.out","p4","d6"
10,"cf","p4","p5"
11,"df.out","p5","d7"
12,"cf","p5","p6"
13,"df.out","p6","d8"
14,"cf","p6","p7"
15,"df.out","p7","d9"
16,"cf","p7","p8"
17,"df.out","p8","d10"
18,"cf","p8","p9"
19,"df.in","d9","p9"
20,"df.out","p9","d11"
21,"cf","p9","p10"
22,"df.out","p10","d12"
23,"cf","p10","p11"
24,"df.out","p11","d13"
25,"cf","p11","p12"
26,"df.in","d14","p12"
27,"df.in","d10","p12"
28,"df.out","p12","d15"
29,"cf","p12","p13"
30,"df.in","d9","p13"
31,"df.out","p13","d16"
32,"cf","p13","p14"
33,"df.out","p14","d17"
34,"cf","p14","p15"
35,"df.out","p15","d18"
36,"cf","p15","p16"
37,"df.in","d9","p16"
38,"df.out","p16","d19"
39,"cf","p16","p17"
40,"df.in","d9","p17"
41,"df.in","d19","p17"
42,"df.out","p17","d20"
43,"cf","p17","p18"
44,"df.in","d18","p18"
45,"df.in","d15","p18"
46,"df.out","p18","d21"
47,"cf","p18","p19"
48,"df.in","d9","p19"
49,"df.out","p19","d22"
50,"cf","p19","p20"
51,"df.out","p20","d23"
52,"cf","p20","p21"
53,"df.out","p21","d24"
54,"cf","p21","p22"
55,"df.in","d23","p22"
56,"df.out","p22","d25"
57,"cf","p22","p23"
58,"df.in","d25","p23"
59,"df.out","p23","d26"
60,"cf","p23","p24"
61,"df.out","p24","d27"
62,"cf","p24","p25"
63,"df.out","p25","d28"
64,"cf","p25","p26"
65,"df.out","p26","d29"
66,"cf","p26","p27"
67,"df.out","p27","d30"
68,"cf","p27","p28"
69,"df.out","p28","d31"
70,"cf","p28","p29"
71,"df.out","p29","d32"
72,"cf","p29","p30"
73,"df.in","d31","p30"
74,"df.out","p30","d33"
75,"cf","p30","p31"
76,"df.out","p31","d34"
77,"cf","p31","p32"
78,"cf","p32","p33"
79,"df.in","d34","p33"
80,"df.in","d33","p33"
81,"cf","p33","p34"
82,"df.out","p34","d35"
83,"cf","p34","p35"
