"ddg.type","ddg.num","ddg.name","ddg.value","ddg.return.linked","ddg.auto.created","ddg.time","ddg.snum","ddg.startLine","ddg.startCol","ddg.endLine","ddg.endCol"
"Start",1,"eepOdy.R","eepOdy.R",FALSE,FALSE,0.393999999999991,NA,NA,NA,NA,NA
"Operation",2,"x <- read.csv(""http://harvardforest.fas.harvard.edu/data/p14","x <- read.csv(""http://harvardforest.fas.harvard.edu/data/p14",FALSE,FALSE,0.849999999999994,0,4,1,4,99
"Operation",3,"sites <- read.csv(""http://harvardforest.fas.harvard.edu/data","sites <- read.csv(""http://harvardforest.fas.harvard.edu/data",FALSE,FALSE,0.906999999999996,0,5,1,5,105
"Operation",4,"nant.sites <- read.csv(""http://harvardforest.fas.harvard.edu","nant.sites <- read.csv(""http://harvardforest.fas.harvard.edu",FALSE,FALSE,0.941000000000003,0,6,1,6,114
"Operation",5,"x[, ""county""] <- as.character(x[, ""county""])","x[, ""county""] <- as.character(x[, ""county""])",FALSE,FALSE,0.971000000000004,0,7,1,7,42
"Operation",6,"x[, ""locality""] <- as.character(x[, ""locality""])","x[, ""locality""] <- as.character(x[, ""locality""])",FALSE,FALSE,1.00399999999999,0,8,1,8,46
"Operation",7,"x <- x[grepl(""aphrud"", as.character(x[, ""code""])), ]","x <- x[grepl(""aphrud"", as.character(x[, ""code""])), ]",FALSE,FALSE,1.06099999999999,0,10,1,10,49
"Operation",8,"nant.sites[, ""site""] <- as.character(nant.sites[, ""site""])","nant.sites[, ""site""] <- as.character(nant.sites[, ""site""])",FALSE,FALSE,1.09799999999998,0,13,1,13,56
"Operation",9,"nant <- (x[grepl(""nant"", as.character(x[, ""county""])), ])","nant <- (x[grepl(""nant"", as.character(x[, ""county""])), ])",FALSE,FALSE,1.119,0,14,1,14,54
"Operation",10,"nant[nant[, ""locality""] == ""NorwoodFarm"", ""locality""] <- ""No","nant[nant[, ""locality""] == ""NorwoodFarm"", ""locality""] <- ""No",FALSE,FALSE,1.15499999999999,0,15,1,15,69
"Operation",11,"nant[nant[, ""locality""] == ""Madequecham"", ""locality""] <- ""Ma","nant[nant[, ""locality""] == ""Madequecham"", ""locality""] <- ""Ma",FALSE,FALSE,1.17399999999999,0,16,1,16,68
"Operation",12,"for (loc in unique(nant[, ""locality""])) {    nant[nant[, ""lo","for (loc in unique(nant[, ""locality""])) {    nant[nant[, ""lo",FALSE,FALSE,1.21299999999999,0,17,1,20,1
