"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","new haven","branford",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","Wheeler ; Ants of CT","Viereck"
"1900-01-01","connecticut","new haven","new haven",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","Wheeler ; Ants of CT","Viereck"
"1958-01-01","connecticut","new haven","Woodbridge",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","CLRemington"
"1972-01-01","connecticut","new haven","Horse Island","H72-H102",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"2010-01-01","connecticut","middlesex","COKSF","2",41.46,-72.52,33,"Myrmicinae","Aphaenogaster","rudis","aphrud","UMEC","Del Toro"
"2010-01-01","connecticut","middlesex","COKSF","1",41.34,-72.5,61,"Myrmicinae","Aphaenogaster","rudis","aphrud","UMEC","Del Toro"
"2010-01-01","connecticut","new london","PACSF","1",41.61,-71.9,135,"Myrmicinae","Aphaenogaster","rudis","aphrud","UMEC","Del Toro"
"2010-01-01","connecticut","windham","NATSF","1",41.89,-72.01,176,"Myrmicinae","Aphaenogaster","rudis","aphrud","UMEC","Del Toro"
"1878-03-08","connecticut","new haven","New Haven",NA,41.31,-72.93,15,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","PMNH","Patton"
"1878-03-08","connecticut","new haven","New Haven",NA,41.31,-72.93,15,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","PMNH","Patton"
"1962-04-03","connecticut","tolland","Mansfield",NA,41.795,-72.2099,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Tardif"
"1962-04-03","connecticut","tolland","Mansfield",NA,41.795,-72.2099,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Tardif"
"1962-04-03","connecticut","tolland","Mansfield",NA,41.795,-72.2099,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Tardif"
"1964-04-03","connecticut","tolland","Mansfield",NA,41.795,-72.2099,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Frechaum"
"1973-04-20","connecticut","new haven","Hamden","Sleeping Giant State Park",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1958-05-01","connecticut","new haven","West Rock",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","CLRemington"
"1956-05-02","connecticut","tolland","Storrs",NA,41.8083,-72.25,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Burr"
"1957-05-04","connecticut","new haven","West Rock",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","CLRemington"
"1973-05-06","connecticut","new haven","West Rock","along ridge west of road",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","ELGoldstein"
"1972-05-15","connecticut","new haven","Horse Island",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1960-05-16","connecticut","new haven","New Haven","West Rock",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","CLRemington"
"1963-05-16","connecticut","tolland","Storrs",NA,41.8083,-72.25,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Stan"
"1973-05-16","connecticut","new haven","Mainland I","0.2 Km. N. of Hoadley Neck. Near S1",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1973-05-16","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1973-05-16","connecticut","new haven","Branford-Mainland I","0.2 Km. N. of Hoadley Neck-near st.",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1973-05-16","connecticut","new haven","Mainland I","Hoadley Neck",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1992-05-17","connecticut","new haven","Talcot Mt. State Park; New Haven",NA,41.85,-72.78,197,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","PMNH","Conn. Ento. Society "
"1922-05-25","rhode island","washington","Kingston",NA,41.4903,-71.5071,55,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","URIC","Keith"
"1972-05-26","connecticut","new haven","Branford",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1973-05-26","connecticut","litchfield","Washington","Nettleton Hollow",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","C.L. Remington"
