"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"1864-01-01","maine","oxford","Norway",NA,NA,NA,NA,"Formicinae","Camponotus","herculeanus","camher","PMNH","S.I. Smith"
"1864-01-01","maine","oxford","Norway",NA,NA,NA,NA,"Formicinae","Camponotus","pennsylvanicus","campen","PMNH","S.I. Smith"
"1864-01-01","maine","oxford","Norway",NA,NA,NA,NA,"Formicinae","Lasius","umbratus","lasumb","PMNH","S.I. Smith"
"1864-01-01","maine","oxford","Norway",NA,NA,NA,NA,"Formicinae","Lasius","umbratus","lasumb","PMNH","S.I. Smith"
"1864-01-01","maine","oxford","Norway",NA,NA,NA,NA,"Myrmicinae","Myrmica","americana","myrame1","PMNH","S.I. Smith"
"1880-01-01","connecticut","new haven","New Haven",NA,41.31,-72.93,15,"Formicinae","Camponotus","americanus","camame","PMNH","Patton"
"1880-01-01","connecticut","new haven","New Haven",NA,41.31,-72.93,15,"Formicinae","Camponotus","castaneus","camcas","PMNH",NA
"1880-01-01","connecticut","new haven","New Haven",NA,41.31,-72.93,15,"Formicinae","Camponotus","chromaiodes","camchr","PMNH",NA
"1880-01-01","connecticut","new haven","New Haven",NA,41.31,-72.93,15,"Formicinae","Formica","exsectoides","forexs","PMNH","Patton"
"1880-01-01","connecticut","new haven","New Haven",NA,41.31,-72.93,15,"Formicinae","Formica","subsericea","forsub3","PMNH","Patton"
"1880-01-01","connecticut","new haven","New Haven",NA,41.31,-72.93,15,"Formicinae","Lasius","umbratus","lasumb","PMNH","Patton"
"1880-01-01","connecticut","new haven","New Haven",NA,41.31,-72.93,15,"Myrmicinae","Myrmecina","americana","myrame1","PMNH","Smith"
"1886-01-01","maine","oxford","Norway",NA,NA,NA,NA,"Myrmicinae","Crematogaster","lineolata","crelin","PMNH","S.I. Smith"
"1886-01-01","maine","oxford","Norway",NA,NA,NA,NA,"Myrmicinae","Crematogaster","lineolata","crelin","PMNH","S.I. Smith"
"1886-01-01","maine","oxford","Norway",NA,NA,NA,NA,"Myrmicinae","Crematogaster","lineolata","crelin","PMNH","S.I. Smith"
"1900-01-01","connecticut","fairfield","brookfield",NA,NA,NA,NA,"Formicinae","Camponotus","americana","camame","Wheeler ; Ants of CT","Dickerson"
"1900-01-01","connecticut","fairfield","new canaan",NA,NA,NA,NA,"Formicinae","Camponotus","chromaiodes","camchr","Wheeler ; Ants of CT","Britton"
"1900-01-01","connecticut","fairfield","new canaan",NA,NA,NA,NA,"Myrmicinae","Crematogaster","lineolata","crelin","Wheeler ; Ants of CT","Britton"
"1900-01-01","connecticut","fairfield","brookfield",NA,NA,NA,NA,"Formicinae","Formica","obscuriventris","forobs","Wheeler ; Ants of CT","Dickerson"
"1900-01-01","connecticut","fairfield","westport",NA,NA,NA,NA,"Formicinae","Lasius","flavus","lasfla","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","hartford","suffield",NA,NA,NA,NA,"Amblyoponinae","Stigmatomma","pallipes","stipal","Wheeler ; Ants of CT","Dimmock"
"1900-01-01","connecticut","hartford","Poquonock",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","treatae","aphtre","Wheeler ; Ants of CT","Viereck"
"1900-01-01","connecticut","hartford","suffield",NA,NA,NA,NA,"Myrmicinae","Crematogaster","lineolata","crelin","Wheeler ; Ants of CT","Dimmock"
"1900-01-01","connecticut","hartford","hartford",NA,NA,NA,NA,"Formicinae","Formica","exsectoides","forexs","Wheeler ; Ants of CT","Forel"
"1900-01-01","connecticut","hartford","hartford",NA,NA,NA,NA,"Formicinae","Formica","subsericea","forsub3","Wheeler ; Ants of CT","Forel"
"1900-01-01","connecticut","hartford","suffield",NA,NA,NA,NA,"Formicinae","Formica","subsericea","forsub3","Wheeler ; Ants of CT","Dimmock"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Amblyoponinae","Stigmatomma","pallipes","stipal","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","fulva","aphful","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","picea","aphpic","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Formicinae","Brachymyrmex","depilis","bradep","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Formicinae","Camponotus","nearcticus","camnea","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Formicinae","Camponotus","novaeboracensis","camnov","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","new hartford",NA,NA,NA,NA,"Formicinae","Camponotus","novaeboracensis","camnov","Wheeler ; Ants of CT","Britton"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Formicinae","Camponotus","pennsylvanicus","campen","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Myrmicinae","Crematogaster","cerasi","crecer","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Myrmicinae","Crematogaster","lineolata","crelin","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Dolichoderinae","Dolichoderus","plagiatus","dolpla","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Formicinae","Formica","aserva","forase","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Formicinae","Formica","difficilis","fordif","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Formicinae","Formica","dolosa","fordol","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","norfolk",NA,NA,NA,NA,"Formicinae","Formica","dolosa","fordol","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","winsted",NA,NA,NA,NA,"Formicinae","Formica","dolosa","fordol","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Formicinae","Formica","exsectoides","forexs","Wheeler ; Ants of CT","Wheeler"
"1900-01-01","connecticut","litchfield","new hartford",NA,NA,NA,NA,"Formicinae","Formica","exsectoides","forexs","Wheeler ; Ants of CT","Britton"
"1900-01-01","connecticut","litchfield","colebrook",NA,NA,NA,NA,"Formicinae","Formica","incerta","forinc","Wheeler ; Ants of CT","Wheeler"
